 ------- 10/18/2010 2:50:45 PM -------- 
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:04:23, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:06:23, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:08:23, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:10:23, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:12:23, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:14:23, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:16:23, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:25:23, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:28:23, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:31:23, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:34:23, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:38:23, Revenue, 0
Red, 18, RHARS, Arrived, 10/18/2010 2:51:51 PM, 00:00:00, Revenue, 1
Red, 18, RCENS, Predicted, 10/18/2010 2:54:51 PM, 00:03:00, Revenue, 1
Red, 18, RKENS, Predicted, 10/18/2010 2:57:51 PM, 00:06:00, Revenue, 1
Red, 18, RMGHS, Predicted, 10/18/2010 2:59:51 PM, 00:08:00, Revenue, 1
Red, 18, RPRKS, Predicted, 10/18/2010 3:01:51 PM, 00:10:00, Revenue, 1
Red, 18, RDTCS, Predicted, 10/18/2010 3:03:51 PM, 00:12:00, Revenue, 1
Red, 18, RSOUS, Predicted, 10/18/2010 3:05:51 PM, 00:14:00, Revenue, 1
Red, 18, RBROS, Predicted, 10/18/2010 3:07:51 PM, 00:16:00, Revenue, 1
Red, 18, RANDS, Predicted, 10/18/2010 3:09:51 PM, 00:18:00, Revenue, 1
Red, 18, RJFKS, Predicted, 10/18/2010 3:11:51 PM, 00:20:00, Revenue, 1
Red, 18, RSAVS, Predicted, 10/18/2010 3:14:51 PM, 00:23:00, Revenue, 1
Red, 18, RFIES, Predicted, 10/18/2010 3:17:51 PM, 00:26:00, Revenue, 1
Red, 18, RSHAS, Predicted, 10/18/2010 3:20:51 PM, 00:29:00, Revenue, 1
Red, 18, RASHS, Predicted, 10/18/2010 3:22:51 PM, 00:31:00, Revenue, 1
 ------- 10/18/2010 2:52:08 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:01:22, Revenue, 1
Red, 2, RSAVS, Predicted, 10/18/2010 2:53:45 PM, 00:01:37, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:56:45 PM, 00:04:37, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:59:45 PM, 00:07:37, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:01:45 PM, 00:09:37, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:01:04, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:00:55, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:02:55, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:04:55, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:06:55, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:10:55, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:13:55, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:16:55, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:19:55, Revenue, 0
Red, 10, RCENS, Arrived, 10/18/2010 2:51:15 PM, -00:00:53, Revenue, 0
Red, 10, RKENS, Predicted, 10/18/2010 2:54:15 PM, 00:02:06, Revenue, 0
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:04:06, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:06:06, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:08:06, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:10:06, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:12:06, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:14:06, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:16:06, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:25:06, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:28:06, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:31:06, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:34:06, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:38:06, Revenue, 0
Red, 18, RHARS, Arrived, 10/18/2010 2:51:51 PM, -00:00:17, Revenue, 1
Red, 18, RCENS, Predicted, 10/18/2010 2:54:51 PM, 00:02:42, Revenue, 1
Red, 18, RKENS, Predicted, 10/18/2010 2:57:51 PM, 00:05:42, Revenue, 1
Red, 18, RMGHS, Predicted, 10/18/2010 2:59:51 PM, 00:07:42, Revenue, 1
Red, 18, RPRKS, Predicted, 10/18/2010 3:01:51 PM, 00:09:42, Revenue, 1
Red, 18, RDTCS, Predicted, 10/18/2010 3:03:51 PM, 00:11:42, Revenue, 1
Red, 18, RSOUS, Predicted, 10/18/2010 3:05:51 PM, 00:13:42, Revenue, 1
Red, 18, RBROS, Predicted, 10/18/2010 3:07:51 PM, 00:15:42, Revenue, 1
Red, 18, RANDS, Predicted, 10/18/2010 3:09:51 PM, 00:17:42, Revenue, 1
Red, 18, RJFKS, Predicted, 10/18/2010 3:11:51 PM, 00:19:42, Revenue, 1
Red, 18, RSAVS, Predicted, 10/18/2010 3:14:51 PM, 00:22:42, Revenue, 1
Red, 18, RFIES, Predicted, 10/18/2010 3:17:51 PM, 00:25:42, Revenue, 1
Red, 18, RSHAS, Predicted, 10/18/2010 3:20:51 PM, 00:28:42, Revenue, 1
Red, 18, RASHS, Predicted, 10/18/2010 3:22:51 PM, 00:30:42, Revenue, 1
Red, 19, RPORN, Arrived, 10/18/2010 2:52:08 PM, 00:00:00, Nonrevenue, 0
Red, 19, RDAVN, Predicted, 10/18/2010 2:55:08 PM, 00:03:00, Nonrevenue, 0
Red, 19, RALEN, Predicted, 10/18/2010 2:58:08 PM, 00:06:00, Nonrevenue, 0
 ------- 10/18/2010 2:52:10 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:01:25, Revenue, 1
Red, 2, RSAVS, Predicted, 10/18/2010 2:53:45 PM, 00:01:34, Revenue, 1
